episode,gender,game,winner,loser
1,F,,Christina LeBlanc,Emily Reese
2,M,,Cohutta Grindstaff,Jill Tuttle
3/4,F,,Larissa Nakagawa,Camila Nakagawa
4/5,M,,Raphy Medrano,Dario Medrano
6,F,,Nany González,Nicole Ramos
7,M,,Stephen Buell,Thomas Buell
8,F,,KellyAnne Judd,Anthony Cuomo
9,M,,Mike Boise,Abram Boise
10,,Through Thick and Thin,Cara Maria Sorbello,Johnny Bananas
10,,Through Thick and Thin,Cara Maria Sorbello,Vince Gliatta
10,,Through Thick and Thin,Jamie Banks,Johnny Bananas
10,,Through Thick and Thin,Jamie Banks,Vince Gliatta
11,F,,Aneesa Ferreira,Rianna Polin
